date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:34	194804/194804	---M--	200	added ('OK')	image/png	etag:%223fbea540f55c4515aa358417a6bdbec1%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Vege_Delight_Calzone.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Vege_Delight_Calzone.png	(from https://amalfipizza.com.au/)
23:45:35	186825/186825	---M--	200	added ('OK')	image/png	etag:%22f3655325e8a99d1a6744344cd95b277b%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Chicken_Schnitzel.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Chicken_Schnitzel.png	(from https://amalfipizza.com.au/)
23:45:36	185080/185080	---M--	200	added ('OK')	image/png	etag:%220268d4ed0b35bb71a3d01d93ad3b40d5%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Standard_Chicken_Parmigiana.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Standard_Chicken_Parmigiana.png	(from https://amalfipizza.com.au/)
23:45:37	183264/183264	---M--	200	added ('OK')	image/png	etag:%22ed0fe8fc764758db70c51f3108b27abd%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Mexican_Chicken_Parmigiana.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Mexican_Chicken_Parmigiana.png	(from https://amalfipizza.com.au/)
23:45:38	178645/178645	---M--	200	added ('OK')	image/png	etag:%22ceeb5215ca0c6dee3221c965742ce550%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Hawaiian_Chicken_Parmigiana.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Hawaiian_Chicken_Parmigiana.png	(from https://amalfipizza.com.au/)
23:45:39	572390/572390	---M--	200	added ('OK')	image/png	etag:%22aef831ee7b8d1b8a491779da2199644b%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Bolognese_Chicken_Parmigiana.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Bolognese_Chicken_Parmigiana.png	(from https://amalfipizza.com.au/)
23:45:40	182720/182720	---M--	200	added ('OK')	image/png	etag:%22445df2b34ae42480a6fd154a2af2b766%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Spanish_Chicken_Parmigiana.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Spanish_Chicken_Parmigiana.png	(from https://amalfipizza.com.au/)
23:45:41	152147/152147	---M--	200	added ('OK')	image/png	etag:%22d22584c39761093f68546ae8cb36cebd%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Ribs.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Ribs.png	(from https://amalfipizza.com.au/)
23:45:41	138407/138407	---M--	200	added ('OK')	image/png	etag:%22f4e1b105418375798f4acd231b52bfe1%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Italian_Salad.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Italian_Salad.png	(from https://amalfipizza.com.au/)
23:45:42	147121/147121	---M--	200	added ('OK')	image/png	etag:%22de96cf6d918d73e303c7e4dfbfc17aab%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Greek_Salad.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Greek_Salad.png	(from https://amalfipizza.com.au/)
